trigger_specialty_id,profession_parent_id,profession_type_id,notes
878,171,,Dentist specialty (878) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
188,171,,Dentist specialty (188) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
358,171,,Dentist specialty (358) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
115,171,,Dentist specialty (115) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
1956,171,,Dentist specialty (1956) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
357,171,,Dentist specialty (357) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
536,171,,Dentist specialty (536) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
367,171,,Dentist specialty (367) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
359,171,,Dentist specialty (359) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
1126,171,,Dentist specialty (1126) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
811,171,,Dentist specialty (811) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
352,171,,Dentist specialty (352) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
1565,171,,Dentist specialty (1565) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
354,171,,Dentist specialty (354) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
353,171,,Dentist specialty (353) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
2448,171,,Dentist specialty (2448) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
833,171,,Dentist specialty (833) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
1564,171,,Dentist specialty (1564) → move to Dentists (profession 171); profession_type_id set to NULL (no MD/DO for Dentists)
1484,169,,Nursing specialty (1484) → move to Nursing (profession 169); profession_type_id set to NULL
844,169,,Nursing specialty (844) → move to Nursing (profession 169); profession_type_id set to NULL
493,169,,Nursing specialty (493) → move to Nursing (profession 169); profession_type_id set to NULL
1532,169,,Nursing specialty (1532) → move to Nursing (profession 169); profession_type_id set to NULL
1483,169,,Nursing specialty (1483) → move to Nursing (profession 169); profession_type_id set to NULL
1498,169,,Nursing specialty (1498) → move to Nursing (profession 169); profession_type_id set to NULL
790,169,,Nursing specialty (790) → move to Nursing (profession 169); profession_type_id set to NULL
796,169,,Nursing specialty (796) → move to Nursing (profession 169); profession_type_id set to NULL
1948,169,,Nursing specialty (1948) → move to Nursing (profession 169); profession_type_id set to NULL
1515,169,,Nursing specialty (1515) → move to Nursing (profession 169); profession_type_id set to NULL
829,169,,Nursing specialty (829) → move to Nursing (profession 169); profession_type_id set to NULL  
